,bias,std,bias_unweighted,seed,model_name
0,0.08627560566451482,0.04145290041168549,0.08611502066329141,1.0,target
1,0.09454445416585579,0.03885431724952335,0.09454445416585579,2.0,target
2,0.08231078142625642,0.03310370512600485,0.0816013380014991,3.0,target
3,0.08961445336061173,0.05003901978615048,0.08904457382860112,1.0,fab_buffer
4,0.09457527182965338,0.05157117287574638,0.09210865141995893,2.0,fab_buffer
5,0.0892931123602241,0.0473664318905748,0.06808421363725572,3.0,fab_buffer
6,0.10518847185562605,0.07661820198704317,0.12660544462098605,1.0,fab_no_buffer
7,0.10328269894891347,0.13974338134298747,0.38902402860460206,2.0,fab_no_buffer
8,0.10329029799762562,0.1003539164872828,0.06953111378836692,3.0,fab_no_buffer
9,0.20773337037025233,0.02140703881309868,0.289966049963415,1.0,flow_kld
10,0.9199575813662958,0.020961992397935076,0.8965118476552694,2.0,flow_kld
11,0.9211581495986627,0.002249813583477687,0.9230088480945793,3.0,flow_kld
12,0.9990661951470924,0.0003153876880360322,0.9984499393537825,1.0,flow_nis
13,0.9980749179570892,0.0005253347201132263,0.9981505741732437,2.0,flow_nis
14,1.014998730126397,0.0038025116348745,1.0755705847848247,3.0,flow_nis
15,0.0901890817576129,0.03848971360547387,0.08977679133429384,1.0,target_kld
16,0.09046455110983719,0.03144854889391038,0.09046455110983719,2.0,target_kld
17,0.08782737743296089,0.03168239300150289,0.08773558706205875,3.0,target_kld
18,0.9268805658029525,0.003899943829105734,0.9289438261598755,1.0,snf
19,0.9520714443341609,0.0019846794108318326,0.945235134074062,2.0,snf
20,0.9384468120309277,0.0027476230870047153,0.9406411061207949,3.0,snf
